bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
assembly_plus_bin_140	3016729	224	12430	59.06497690715797	73.2394366197183	40.84507042253521	Bacteria	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	UBA9611	UBA9611 sp002328185
assembly_plus_bin_141	896800	67	13121	58.298694562161415	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Casp-alpha2	Casp-alpha2	Casp-alpha2 sp002938315
assembly_plus_bin_142	221148	8	36384	43.22696377834361	0.0	0.0	Bacteria	SAR324	SAR324	SAR324	NAC60-12	Arctic96AD-7	Arctic96AD-7 sp002685535
assembly_plus_bin_143	572463	43	12532	57.85864698371685	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Halomonas aquamarina
assembly_plus_bin_144	1201877	60	28721	39.00826799440312	50.70422535211268	5.633802816901408	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	GCA-002701945	GCA-002701945 sp012964215
assembly_plus_bin_145	332235	7	47759	53.58090045507856	0.0	0.0							
assembly_plus_bin_146	323162	24	12891	39.970616697161546	0.0	0.0							
assembly_plus_bin_147	515889	33	14094	30.21933710685029	0.0	0.0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
assembly_plus_bin_148	250114	4	68305	54.00764917626485	46.478873239436616	67.6056338028169	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	GCA-2726415	GCA-2726415 sp014239575
assembly_plus_bin_149	1752261	22	90687	38.28958072894498	35.2112676056338	11.267605633802816	Bacteria	Nitrospinota	UBA9942	UBA9942	SZUA-224	SZUA-224	SZUA-224 sp003229375
assembly_plus_bin_15	1105135	9	349991	64.88883944055739	69.01408450704226	0.0	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	UBA3125	UBA3125 sp002501135
assembly_plus_bin_150	202581	16	11908	44.174188392357586	0.0	0.0							
assembly_plus_bin_151	460683	36	11914	48.8111116201016	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	UBA2165	UBA2165	UBA2165 sp002327565
assembly_plus_bin_152	727500	57	12685	35.65952857552782	0.0	0.0							
assembly_plus_bin_153	1968105	166	11998	34.05355852335888	26.760563380281692	59.15492957746479	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	GCA-002701945	GCA-002701945 sp002701785
assembly_plus_bin_154	682780	34	25042	63.72547953554677	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	Erythrobacter citreus
assembly_plus_bin_155	334245	25	13116	61.8851280480382	0.0	0.0							
assembly_plus_bin_156	221408	7	52592	41.22869382834086	0.0	0.0							
assembly_plus_bin_157	1352852	110	12218	40.271681650242755	0.0	0.0	Bacteria	SAR324	SAR324	SAR324	NAC60-12	Arctic96AD-7	Arctic96AD-7 sp002082305
assembly_plus_bin_158	215969	3	92364	57.41507308066316	0.0	0.0							
assembly_plus_bin_159	2423550	190	12907	34.388170363061285	0.0	0.0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	GCA-002708315	GCA-002708315 sp002686705
assembly_plus_bin_16	3123321	240	12956	34.99517236956018	46.05263157894737	173.68421052631578	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopelagicus	
assembly_plus_bin_160	382582	27	14008	40.57933134313701	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA1611	GCA-002717915	GCA-002717915 sp002717915
assembly_plus_bin_161	564220	37	14687	48.377504441842646	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	UBA4582	UBA4582 sp002725285
assembly_plus_bin_162	236459	2	128448	46.49620618609712	0.0	0.0							
assembly_plus_bin_163	3910388	319	12101	37.594549295020656	47.88732394366197	91.54929577464789	Bacteria	Marinisomatota	Marinisomatia	SCGC-AAA003-L08	D37C17	D37C17	
assembly_plus_bin_164	513670	37	13451	56.63544090325411	0.0	0.0							
assembly_plus_bin_165	564577	28	30725	55.483370307671706	56.33802816901409	11.267605633802816	Bacteria	Acidobacteriota	UBA890	UBA890	UBA890	UBA890	UBA890 sp002722645
assembly_plus_bin_166	352555	8	44964	68.40818270235714	0.0	0.0							
assembly_plus_bin_167	289377	18	14809	41.06999406139692	22.535211267605632	7.042253521126761	Bacteria	Patescibacteria	Paceibacteria	Moranbacterales	UBA1568	UBA1568	UBA1568 sp002790675
assembly_plus_bin_168	335652	24	13254	46.245952979567654	0.0	0.0							
assembly_plus_bin_169	731860	55	12539	40.66933541004542	0.0	0.0							
assembly_plus_bin_17	214450	7	54420	41.07141968889568	0.0	0.0							
assembly_plus_bin_170	540187	43	12182	42.06793050828957	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA1611	UBA2134	UBA2134 sp002471805
assembly_plus_bin_171	361971	5	66248	52.99773458626322	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	GCA-2726415	
assembly_plus_bin_172	991079	82	12125	67.67801540756349	0.0	0.0	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA823	UBA2161	UBA2161 sp002730525
assembly_plus_bin_173	2246669	197	11163	37.33216434354966	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	TCS55	TCS55 sp014382015
assembly_plus_bin_174	309380	8	39897	39.460306566170885	0.0	0.0							
assembly_plus_bin_175	922675	72	12239	37.67822728810005	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	DTVJ01	DTVJ01 sp012963565
assembly_plus_bin_176	213985	17	11651	40.638651063996974	0.0	0.0							
assembly_plus_bin_177	2037313	168	12045	56.97982682312921	45.070422535211264	11.267605633802816	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	GCA-2726245	GCA-2726245 sp002726245
assembly_plus_bin_178	5834024	476	11649	31.669925542803306	73.2394366197183	222.53521126760563	Bacteria						
assembly_plus_bin_179	834812	11	80117	42.6340494612483	59.15492957746479	4.225352112676056	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA2128	UBA2128	UBA2128 sp002471865
assembly_plus_bin_18	654972	1	654972	55.20861051767964	0.0	0.0							
assembly_plus_bin_180	590299	40	13336	37.450085602884926	0.0	0.0							
assembly_plus_bin_181	1212345	103	11590	61.946463205414595	28.169014084507044	7.042253521126761	Bacteria	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495		
assembly_plus_bin_182	226922	11	36239	40.43886806401903	0.0	0.0							
assembly_plus_bin_183	375424	29	11664	40.447770269953416	0.0	0.0							
assembly_plus_bin_184	237962	4	56317	40.102604336632055	0.0	0.0							
assembly_plus_bin_185	2470276	100	45068	37.58107908420365	67.6056338028169	22.535211267605632							
assembly_plus_bin_186	597662	43	13212	38.51109456825964	0.0	0.0							
assembly_plus_bin_187	1596605	123	12368	34.35656138532781	75.0	90.78947368421052	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GCA-2688925	GCA-2688925 sp002688925
assembly_plus_bin_188	317380	2	265014	44.70327477382215	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA2128	UBA2128	UBA2128 sp002471865
assembly_plus_bin_189	492087	8	106830	64.1359773809461	47.36842105263158	0.0	Archaea	Thermoplasmatota	Poseidoniia	MGIII	CG-Epi1	UBA8886	UBA8886 sp002731655
assembly_plus_bin_19	697539	6	447806	30.82751792136647	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	AAA240-E13	
assembly_plus_bin_190	3134404	54	59605	40.17760820997275	90.14084507042253	70.4225352112676	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua	Scalindua sp001828595
assembly_plus_bin_191	433108	32	12329	28.277075249628613	31.57894736842105	10.526315789473685	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	NP1466	NP1466 sp002731115
assembly_plus_bin_192	1902986	157	12318	37.23976720739648	0.0	0.0							
assembly_plus_bin_193	4161593	307	13174	65.36161501166401	53.521126760563384	22.535211267605632	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	UBA8438	UBA8438 sp002726085
assembly_plus_bin_194	1823960	142	12019	62.864771287614595	35.2112676056338	7.042253521126761	Bacteria	Proteobacteria	Alphaproteobacteria	UBA7887	UBA7887	UBA7887	UBA7887 sp002501105
assembly_plus_bin_195	291533	8	38597	39.10643158318757	38.028169014084504	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	Thioglobus	Thioglobus sp000372785
assembly_plus_bin_196	560195	48	11992	62.37862080490346	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	GCA-2731375	GCA-2731375	GCA-2731375	GCA-2731375 sp002731375
assembly_plus_bin_197	237118	14	14991	38.71751962196445	0.0	0.0							
assembly_plus_bin_198	2331291	180	12750	54.90218462059906	0.0	0.0							
assembly_plus_bin_199	620307	48	12764	49.893764051240844	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	GCA-002726655	GCA-002726655 sp002725995
assembly_plus_bin_2	517053	5	163889	58.18615689617255	42.10526315789474	0.0	Archaea	Thermoplasmatota	Poseidoniia	MGIII	CG-Epi1	UBA8886	UBA8886 sp002731905
assembly_plus_bin_20	748015	14	79445	28.055105590177376	77.46478873239437	5.633802816901408	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae		
assembly_plus_bin_200	226937	5	59165	47.790379886279425	0.0	0.0	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA2156	UBA2156	UBA2156 sp002328165
assembly_plus_bin_201	392120	19	31837	49.83407955941227	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	GCA-002726655	GCA-002726655 sp002726655
assembly_plus_bin_202	384867	6	58567	41.195395053106054	0.0	0.0							
assembly_plus_bin_203	1609100	70	34350	61.07360528782103	52.11267605633803	14.084507042253522							
assembly_plus_bin_204	482006	12	39319	40.08801934994881	53.521126760563384	5.633802816901408	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua	Scalindua sp001828595
assembly_plus_bin_205	235090	4	127148	66.90895392343606	0.0	0.0	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	UBA3125	
assembly_plus_bin_206	1103605	93	11663	36.348914466593726	23.943661971830984	26.760563380281692	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	Thioglobus	Thioglobus singularis
assembly_plus_bin_207	668738	20	87184	41.65510037632145	36.8421052631579	22.36842105263158	Archaea	Thermoplasmatota	Poseidoniia	MGIII	CG-Epi1	CG-Epi1	CG-Epi1 sp002506485
assembly_plus_bin_208	601292	49	12422	62.69642179253263	0.0	0.0							
assembly_plus_bin_209	474936	10	50367	42.88272135858745	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA2128	UBA2128	UBA2128 sp002471865
assembly_plus_bin_21	526425	44	11820	65.37954730580911	0.0	0.0							
assembly_plus_bin_210	1116154	67	15871	61.37868144335494	0.0	0.0							
assembly_plus_bin_211	371288	31	11830	60.185096804886875	0.0	0.0	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	Thalassarchaeum	Thalassarchaeum sp002507125
assembly_plus_bin_212	250355	5	50882	43.0165114616462	0.0	0.0	Bacteria	SAR324	SAR324	SAR324	NAC60-12	Arctic96AD-7	Arctic96AD-7 sp002685535
assembly_plus_bin_213	789346	16	65843	63.88765976084906	0.0	0.0							
assembly_plus_bin_214	556856	1	556856	40.581778576304	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA8229	UBA8229	UBA8229 sp012964235
assembly_plus_bin_215	1884217	29	66738	67.91488796385985	63.38028169014085	33.80281690140845	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	S20-B6	S20-B6 sp002329075
assembly_plus_bin_216	577602	11	73559	41.163076961697186	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	UBA2126	
assembly_plus_bin_217	841131	64	12554	60.81384495220964	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	UBA7887	UBA7887	UBA7887	UBA7887 sp002501105
assembly_plus_bin_218	760861	61	12379	41.5065615692444	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	UBA11654	UBA11654	DTSX01	DTSX01 sp012965065
assembly_plus_bin_219	274447	9	39487	54.23153678129834	0.0	0.0							
assembly_plus_bin_22	496006	12	54544	59.86270049940029	0.0	0.0							
assembly_plus_bin_220	334158	8	47327	34.24183787560019	0.0	0.0							
assembly_plus_bin_221	388071	30	13419	52.55284498948629	0.0	0.0							
assembly_plus_bin_222	419724	5	260611	59.02566902914411	0.0	0.0							
assembly_plus_bin_223	394739	8	54328	38.62172902582677	54.929577464788736	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	Thioglobus	Thioglobus autotrophicus
assembly_plus_bin_224	783247	69	11237	59.74206550330096	0.0	0.0							
assembly_plus_bin_225	291759	19	14069	54.261522368445426	0.0	0.0	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA823	UBA11600	UBA11600 sp002730735
assembly_plus_bin_226	279560	20	13295	45.03891145440629	0.0	0.0	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	GCA-002718515	GCA-002718515 sp014381305
assembly_plus_bin_227	1059693	8	325849	42.09882404260609	64.78873239436619	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	UBA2126	UBA2126 sp002730315
assembly_plus_bin_228	477153	40	12094	39.43860986852683	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	SCGC-AAA003-L08	D37C17	D37C17	
assembly_plus_bin_229	817082	19	43555	46.471689794993665	0.0	0.0							
assembly_plus_bin_23	1232885	100	11727	33.09605281325539	33.80281690140845	12.67605633802817	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	BACL11	DUAL01	DUAL01 sp012960835
assembly_plus_bin_230	20079188	1582	11879	28.593395737509052	100.0	2053.521126760563	Bacteria	Proteobacteria	Alphaproteobacteria				
assembly_plus_bin_231	972045	36	36451	39.61861936656953	0.0	0.0							
assembly_plus_bin_232	2833165	65	57403	48.77993169341966	45.070422535211264	4.225352112676056	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	UBA4582	UBA4582 sp002725285
assembly_plus_bin_233	491647	42	11505	63.997677037968	0.0	0.0	Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	UBA6960		
assembly_plus_bin_234	3473657	85	46040	30.74539585832572	83.09859154929578	325.3521126760563	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	AAA240-E13	AAA240-E13 sp002690285
assembly_plus_bin_235	636300	13	52661	44.146343989048816	0.0	0.0							
assembly_plus_bin_236	528823	17	46320	29.825461019987877	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	GCA-002718135	MarineAlpha5-Bin3	MarineAlpha5-Bin3 sp002938255
assembly_plus_bin_237	333344	3	98718	46.05537161892033	0.0	0.0	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA2156	UBA2156	UBA2156 sp002328165
assembly_plus_bin_238	282316	7	43760	63.44000600100599	0.0	0.0	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	UBA3125	UBA3125 sp002365325
assembly_plus_bin_239	238577	11	28948	55.27427624203152	0.0	0.0							
assembly_plus_bin_24	1721549	2	1376323	40.09714243775363	80.28169014084507	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	UBA8229	UBA8229	UBA8229 sp002726775
assembly_plus_bin_240	751153	56	12333	33.07630293727731	50.0	32.89473684210526	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4		
assembly_plus_bin_241	348484	5	91648	37.133482620372604	0.0	0.0	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	UBA2126	
assembly_plus_bin_242	2379538	117	32638	26.46770429275127	83.09859154929578	90.14084507042253	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae		
assembly_plus_bin_243	459237	26	14978	47.11824901790655	0.0	0.0	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	SCGCAAA288-L16	SCGCAAA288-L16 sp002731985
assembly_plus_bin_244	412013	29	13178	45.84959665982123	0.0	0.0	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	SCGCAAA288-L16	SCGCAAA288-L16 sp002731985
assembly_plus_bin_245	1022488	77	13060	46.86128487878618	0.0	0.0	Bacteria	Chloroflexota	Dehalococcoidia	UBA1151	Bin127	GCA-002725925	GCA-002725925 sp002725925
assembly_plus_bin_246	349027	3	242071	59.630338522614565	0.0	0.0							
assembly_plus_bin_247	968031	43	34283	57.66888497855896	0.0	0.0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA1096	UBA1096	UBA1096 sp003972865
assembly_plus_bin_248	1098929	92	11651	31.147388332916854	39.473684210526315	21.05263157894737	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	
assembly_plus_bin_249	2625268	199	11670	60.53419317740669	32.394366197183096	7.042253521126761	Bacteria	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	UBA2160	UBA2160 sp002328865
assembly_plus_bin_25	1481812	3	605439	40.048975424034346	64.78873239436619	2.816901408450704	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	Thioglobus	
assembly_plus_bin_250	361303	16	35911	39.60037429685171	0.0	0.0	Bacteria						
assembly_plus_bin_251	361166	31	12019	65.45449668518454	0.0	0.0							
assembly_plus_bin_252	1426463	54	38965	45.293016391005914	39.436619718309856	21.12676056338028	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA2156	UBA2156	UBA2156 sp002328165
assembly_plus_bin_253	270290	11	32135	66.655516362052	0.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	Erythrobacter citreus
assembly_plus_bin_254	518756	12	49701	31.025449771342174	57.74647887323944	25.35211267605634	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	AAA240-E13	AAA240-E13 sp000513075
assembly_plus_bin_255	214544	12	16223	48.708024580893486	0.0	0.0							
assembly_plus_bin_256	303198	5	62444	38.98248544584735	0.0	0.0							
assembly_plus_bin_257	352102	6	66676	31.656911694948924	21.12676056338028	0.0							
assembly_plus_bin_258	370283	29	12256	52.50943194137858	0.0	0.0							
assembly_plus_bin_259	484946	40	11945	55.03541756289208	0.0	0.0							
assembly_plus_bin_26	285973	9	44560	34.536249772981556	0.0	0.0							
assembly_plus_bin_260	583137	44	12880	48.927243953411285	0.0	0.0							
assembly_plus_bin_261	3684679	277	13108	58.23167969031301	25.35211267605634	12.67605633802817							
assembly_plus_bin_262	676717	49	14138	53.480090639293465	0.0	0.0	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	GCA-2718815	GCA-2718815 sp002726515
assembly_plus_bin_263	1338365	24	62362	65.38801323450295	59.15492957746479	23.943661971830984	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	UBA3125	UBA3125 sp002365325
assembly_plus_bin_264	258949	5	41733	63.05107309441853	0.0	0.0							
assembly_plus_bin_265	472782	12	47080	38.23052759602132	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae		
assembly_plus_bin_266	1188699	11	142379	38.83424885125991	70.4225352112676	43.66197183098591	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	TCS55	UBA2126	UBA2126 sp002436185
assembly_plus_bin_267	404819	19	31941	39.77914447307541	0.0	0.0							
assembly_plus_bin_268	281532	23	12480	38.64028919465772	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	UBA11654	UBA11654	DTSX01	DTSX01 sp012965065
assembly_plus_bin_269	687888	16	52578	52.184706471608	42.25352112676056	4.225352112676056	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	REDSEA-S09-B13	REDSEA-S09-B13 sp002731295
assembly_plus_bin_27	3415137	4	2471245	60.64975297641679	100.0	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter pontiacus
assembly_plus_bin_270	300124	2	215826	39.484782556068545	0.0	0.0							
assembly_plus_bin_271	670543	17	46105	52.82921935433209	0.0	0.0	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	UBA868	GCA-2726415	
assembly_plus_bin_272	2882275	238	11983	28.34682033692802	60.563380281690144	107.04225352112677	Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	GCA-002718135		
assembly_plus_bin_273	207083	14	13380	31.136940900853844	0.0	0.0							
