"","X..contig","classification","reason","lineage","lineage.scores","superkingdom","phylum","class","order","family","genus","species"
"2414","MG1058_m54329U_210919_100542_1050608_ccs","taxid assigned","based on 2/4 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.58","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.58"
"2619","MG1058_m54329U_210919_100542_10552034_ccs","taxid assigned","based on 17/17 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.92;0.92;0.92","Bacteria: 1.00","Candidatus Marinimicrobia: 0.92",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.92"
"2623","MG1058_m54329U_210919_100542_10552176_ccs","taxid assigned","based on 9/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.97;0.60;0.60;0.60","Bacteria: 0.97","Candidatus Marinimicrobia: 0.60",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.60"
"2624","MG1058_m54329U_210919_100542_10552282_ccs","taxid assigned","based on 28/30 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"2627","MG1058_m54329U_210919_100542_10552525_ccs","taxid assigned","based on 7/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"2635","MG1058_m54329U_210919_100542_10553007_ccs","taxid assigned","based on 6/6 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.83;0.53;0.53;0.53","Bacteria: 0.83","Candidatus Marinimicrobia: 0.53",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.53"
"2901","MG1058_m54329U_210919_100542_10617745_ccs","taxid assigned","based on 16/18 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.72;0.62;0.62;0.62","Bacteria: 0.72","Candidatus Marinimicrobia: 0.62",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.62"
"2908","MG1058_m54329U_210919_100542_10618280_ccs","taxid assigned","based on 8/15 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.90;0.62;0.62;0.62","Bacteria: 0.90","Candidatus Marinimicrobia: 0.62",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.62"
"3220","MG1058_m54329U_210919_100542_10682818_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"3225","MG1058_m54329U_210919_100542_10683481_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.91","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.91"
"3235","MG1058_m54329U_210919_100542_10684255_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.74;0.74;0.74","Bacteria: 1.00","Candidatus Marinimicrobia: 0.74",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.74"
"3238","MG1058_m54329U_210919_100542_10684541_ccs","taxid assigned","based on 7/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.59;0.59;0.59","Bacteria: 1.00","Candidatus Marinimicrobia: 0.59",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.59"
"3536","MG1058_m54329U_210919_100542_10749266_ccs","taxid assigned","based on 7/7 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 1.00"
"3541","MG1058_m54329U_210919_100542_10749573_ccs","taxid assigned","based on 15/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"3542","MG1058_m54329U_210919_100542_10749880_ccs","taxid assigned","based on 5/5 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"3820","MG1058_m54329U_210919_100542_10814148_ccs","taxid assigned","based on 22/23 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.97;0.97;0.89","Bacteria: 1.00","Candidatus Marinimicrobia: 0.97",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.89"
"3822","MG1058_m54329U_210919_100542_10814422_ccs","taxid assigned","based on 12/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.83;0.60;0.60;0.60","Bacteria: 0.83","Candidatus Marinimicrobia: 0.60",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.60"
"3832","MG1058_m54329U_210919_100542_10815602_ccs","taxid assigned","based on 17/17 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.76;0.76;0.76","Bacteria: 1.00","Candidatus Marinimicrobia: 0.76",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.76"
"4108","MG1058_m54329U_210919_100542_10879161_ccs","taxid assigned","based on 5/5 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"4126","MG1058_m54329U_210919_100542_10879678_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.99;0.67;0.67;0.67","Bacteria: 0.99","Candidatus Marinimicrobia: 0.67",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.67"
"4135","MG1058_m54329U_210919_100542_10880233_ccs","taxid assigned","based on 13/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"4153","MG1058_m54329U_210919_100542_10881396_ccs","taxid assigned","based on 6/6 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.99;0.99;0.99","Bacteria: 1.00","Candidatus Marinimicrobia: 0.99",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.99"
"4467","MG1058_m54329U_210919_100542_10946489_ccs","taxid assigned","based on 13/13 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"4471","MG1058_m54329U_210919_100542_10946740_ccs","taxid assigned","based on 15/16 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.98;0.98;0.91","Bacteria: 1.00","Candidatus Marinimicrobia: 0.98",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.91"
"4732","MG1058_m54329U_210919_100542_11010607_ccs","taxid assigned","based on 10/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.81;0.77;0.74;0.74","Bacteria: 0.81","Candidatus Marinimicrobia: 0.74",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.74"
"4739","MG1058_m54329U_210919_100542_11010910_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.95;0.90;0.90;0.90","Bacteria: 0.95","Candidatus Marinimicrobia: 0.90",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.90"
"4741","MG1058_m54329U_210919_100542_11011177_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.61","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.61"
"4748","MG1058_m54329U_210919_100542_11011794_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.95;0.95;0.51","Bacteria: 1.00","Candidatus Marinimicrobia: 0.95",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.51"
"4751","MG1058_m54329U_210919_100542_11011903_ccs","taxid assigned","based on 21/21 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.97;0.97;0.96","Bacteria: 1.00","Candidatus Marinimicrobia: 0.97",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.96"
"4754","MG1058_m54329U_210919_100542_11011996_ccs","taxid assigned","based on 15/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.83;0.83;0.83","Bacteria: 1.00","Candidatus Marinimicrobia: 0.83",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.83"
"4760","MG1058_m54329U_210919_100542_11012495_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.70;0.70;0.70","Bacteria: 1.00","Candidatus Marinimicrobia: 0.70",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.70"
"4764","MG1058_m54329U_210919_100542_11012849_ccs","taxid assigned","based on 7/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.81;0.81;0.74;0.50","Bacteria: 0.81","Candidatus Marinimicrobia: 0.74",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.50"
"4765","MG1058_m54329U_210919_100542_11012923_ccs","taxid assigned","based on 3/3 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.81;0.81;0.68","Bacteria: 1.00","Candidatus Marinimicrobia: 0.81",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.68"
"5031","MG1058_m54329U_210919_100542_11076338_ccs","taxid assigned","based on 14/15 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.85;0.85;0.67;0.67","Bacteria: 0.85","Candidatus Marinimicrobia: 0.67",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.67"
"5041","MG1058_m54329U_210919_100542_11077084_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"5055","MG1058_m54329U_210919_100542_11078207_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.53;0.53;0.53","Bacteria: 1.00","Candidatus Marinimicrobia: 0.53",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.53"
"5321","MG1058_m54329U_210919_100542_11141567_ccs","taxid assigned","based on 20/21 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.98;0.86;0.86;0.64","Bacteria: 0.98","Candidatus Marinimicrobia: 0.86",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.64"
"5343","MG1058_m54329U_210919_100542_11143735_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;0.95;0.93","Bacteria: 1.00","Candidatus Marinimicrobia: 0.95",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.93"
"5349","MG1058_m54329U_210919_100542_1114589_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;0.96;0.96","Bacteria: 1.00","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.96"
"5448","MG1058_m54329U_210919_100542_1116617_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"5653","MG1058_m54329U_210919_100542_11207185_ccs","taxid assigned","based on 18/19 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.98;0.98;0.98","Bacteria: 1.00","Candidatus Marinimicrobia: 0.98",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.98"
"5964","MG1058_m54329U_210919_100542_11273223_ccs","taxid assigned","based on 15/16 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.96;0.96;0.96","Bacteria: 1.00","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.96"
"5967","MG1058_m54329U_210919_100542_11273317_ccs","taxid assigned","based on 13/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.93;0.93;0.88;0.88","Bacteria: 0.93","Candidatus Marinimicrobia: 0.88",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.88"
"5984","MG1058_m54329U_210919_100542_11274800_ccs","taxid assigned","based on 15/16 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"6278","MG1058_m54329U_210919_100542_11339402_ccs","taxid assigned","based on 7/8 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.95;0.95;0.70","Bacteria: 1.00","Candidatus Marinimicrobia: 0.95",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.70"
"6860","MG1058_m54329U_210919_100542_11469522_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"6871","MG1058_m54329U_210919_100542_11470248_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.99;0.99;0.99","Bacteria: 1.00","Candidatus Marinimicrobia: 0.99",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.99"
"7181","MG1058_m54329U_210919_100542_11535759_ccs","taxid assigned","based on 8/10 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 1.00"
"7483","MG1058_m54329U_210919_100542_11600939_ccs","taxid assigned","based on 6/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.70;0.70;0.70","Bacteria: 1.00","Candidatus Marinimicrobia: 0.70",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.70"
"7489","MG1058_m54329U_210919_100542_11601846_ccs","taxid assigned","based on 13/13 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"7490","MG1058_m54329U_210919_100542_11601933_ccs","taxid assigned","based on 6/7 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.87;0.87;0.87","Bacteria: 1.00","Candidatus Marinimicrobia: 0.87",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.87"
"7494","MG1058_m54329U_210919_100542_11602302_ccs","taxid assigned","based on 17/21 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.88;0.69;0.69;0.63","Bacteria: 0.88","Candidatus Marinimicrobia: 0.69",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.63"
"7495","MG1058_m54329U_210919_100542_11602473_ccs","taxid assigned","based on 23/23 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.95;0.83;0.75;0.75","Bacteria: 0.95","Candidatus Marinimicrobia: 0.75",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.75"
"7761","MG1058_m54329U_210919_100542_11666371_ccs","taxid assigned","based on 12/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.67;0.67;0.67","Bacteria: 1.00","Candidatus Marinimicrobia: 0.67",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.67"
"7766","MG1058_m54329U_210919_100542_11666622_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.66;0.52;0.52","Bacteria: 1.00","Candidatus Marinimicrobia: 0.52",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.52"
"7769","MG1058_m54329U_210919_100542_11667093_ccs","taxid assigned","based on 15/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"7774","MG1058_m54329U_210919_100542_11667974_ccs","taxid assigned","based on 12/17 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.78;0.78;0.57;0.57","Bacteria: 0.78","Candidatus Marinimicrobia: 0.57",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.57"
