"","gene_callers_id","COG20_FUNCTION","COG20_CATEGORY","COG20_PATHWAY","plasmid"
"30",39,"Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"31",40,"dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme (RfbC) (PDB:1DZR)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"32",41,"dTDP-D-glucose 4,6-dehydratase (RfbB) (PDB:1G1A)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"33",42,"dTDP-4-dehydrorhamnose reductase (RfbD) (PDB:1KBZ)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"34",43,"dTDP-glucose pyrophosphorylase (RmlA1) (PDB:1FXO)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"35",44,"Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"36",45,"Acetyltransferase, isoleucine patch superfamily (WbbJ)","General function prediction only",NA,"plasmid3_sulf1"
"37",46,"dTDP-4-amino-4,6-dideoxygalactose transaminase (WecE) (PDB:4PIW) (PUBMED:15271350)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"38",47,"NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC (FlaA1) (PDB:2GN4)","Cell wall/membrane/envelope biogenesis!!!Posttranslational modification, protein turnover, chaperones",NA,"plasmid3_sulf1"
"39",49,"ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)","Cell cycle control, cell division, chromosome partitioning!!!Cell motility",NA,"plasmid3_sulf1"
"40",50,"Chromosome segregation protein Spo0J, contains ParB-like nuclease domain (Spo0J) (PDB:1R71)","Cell cycle control, cell division, chromosome partitioning",NA,"plasmid3_sulf1"
"41",56,"Chromosome segregation ATPase Smc (Smc) (PDB:5XG3)","Cell cycle control, cell division, chromosome partitioning",NA,"plasmid3_sulf1"
"42",59,"ssDNA abasic site-binding protein YedK/HMCES, SRAP family (SRAP) (PDB:1ZN6) (PUBMED:30554877;31504793)","Replication, recombination and repair",NA,"plasmid3_sulf1"
"43",60,"Choline-glycine betaine transporter (BetT) (PDB:2WIT)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"44",61,"Choline-glycine betaine transporter (BetT) (PDB:2WIT)","Cell wall/membrane/envelope biogenesis",NA,"plasmid3_sulf1"
"45",62,"TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)","Carbohydrate transport and metabolism",NA,"plasmid3_sulf1"
"46",63,"TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)","Carbohydrate transport and metabolism",NA,"plasmid3_sulf1"
"47",64,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)","Carbohydrate transport and metabolism",NA,"plasmid3_sulf1"
"48",65,"O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)","Lipid transport and metabolism","Menaquinone biosynthesis","plasmid3_sulf1"
"49",66,"Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid3_sulf1"
"50",67,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)","Signal transduction mechanisms!!!Transcription",NA,"plasmid3_sulf1"
"51",68,"Diaminopimelate decarboxylase (LysA) (PDB:1D7K)","Amino acid transport and metabolism","Lysine biosynthesis","plasmid3_sulf1"
"52",69,"Uncharacterized NAD(P)/FAD-binding protein YdhS (YdhS)","General function prediction only",NA,"plasmid3_sulf1"
"53",2,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf1"
"54",3,"Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)","Cell wall/membrane/envelope biogenesis!!!Defense mechanisms",NA,"plasmid2_sulf1"
"55",5,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid2_sulf1"
"56",7,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid2_sulf1"
"57",8,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid2_sulf1"
"58",9,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf1"
"59",10,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"60",11,"TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"61",12,"TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"62",16,"Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)!!!GAF domain (GAF)","Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms",NA,"plasmid2_sulf1"
"63",17,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf1"
"64",18,"Uncharacterized membrane protein YadS, UPF0324 family (YeiH)","Function unknown",NA,"plasmid2_sulf1"
"65",19,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf1"
"66",20,"Predicted oxidoreductase","General function prediction only",NA,"plasmid2_sulf1"
"67",21,"Predicted Na+-dependent transporter YfeH (YfeH) (PDB:4N7X) (PUBMED:21175741)","General function prediction only",NA,"plasmid2_sulf1"
"68",22,"O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)","Lipid transport and metabolism","Menaquinone biosynthesis","plasmid2_sulf1"
"69",23,"Nitroreductase (NfnB) (PDB:1F5V)","Energy production and conversion","Pyrimidine degradation","plasmid2_sulf1"
"70",24,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid2_sulf1"
"71",25,"Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)","Cell wall/membrane/envelope biogenesis!!!Defense mechanisms",NA,"plasmid2_sulf1"
"72",26,"Divalent metal cation (Fe/Co/Zn/Cd) efflux pump (FieF) (PDB:2QFI)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"73",28,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"74",29,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"75",30,"DNA-binding transcriptional regulator, CsgD family (CsgD)","Transcription",NA,"plasmid2_sulf1"
"76",31,"Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf1"
"77",32,"NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains (ViuB) (PDB:2GPJ)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"78",33,"Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"79",34,"Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"80",36,"DNA-binding ferritin-like protein (oxidative damage protectant) (Dps) (PDB:1DPS)","Inorganic ion transport and metabolism!!!Defense mechanisms",NA,"plasmid2_sulf1"
"81",37,"Predicted Fe-S protein YdhL, DUF1289 family (YdhL)","General function prediction only",NA,"plasmid2_sulf1"
"82",38,"Cu/Zn superoxide dismutase (SodC) (PDB:1ESO)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"83",39,"Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain (YlmC) (PDB:1PM3)","General function prediction only",NA,"plasmid2_sulf1"
"84",40,"Magnesium uptake protein YhiD/SapB, involved in acid resistance (SapB) (PUBMED:19798051)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"85",42,"Lipoprotein-anchoring transpeptidase ErfK/SrfK (ErfK) (PDB:4LZH)","Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf1"
"86",43,"Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)","Lipid transport and metabolism!!!General function prediction only","Non-phosphorylated Entner-Doudoroff pathway","plasmid2_sulf1"
"87",44,"Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)","Lipid transport and metabolism!!!General function prediction only","Non-phosphorylated Entner-Doudoroff pathway","plasmid2_sulf1"
"88",45,"Cytochrome c553 (CytC553) (PDB:6Q2U)","Energy production and conversion",NA,"plasmid2_sulf1"
"89",46,"Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family (DedA) (PUBMED:24312110;25917916)","Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf1"
"90",47,"Serine transporter YbeC, amino acid:H+ symporter family (PotE) (PDB:3LRB)","Amino acid transport and metabolism",NA,"plasmid2_sulf1"
"91",48,"Heme/copper-type cytochrome/quinol oxidase, subunit 2 (CyoA) (PDB:1CYW)!!!Cytochrome c1 (CYT1)","Energy production and conversion!!!Energy production and conversion",NA,"plasmid2_sulf1"
"92",49,"Heme/copper-type cytochrome/quinol oxidase, subunit 1 (CyoB) (PDB:1AR1)!!!Heme/copper-type cytochrome/quinol oxidase, subunit 3 (CyoC) (PDB:1QLE)","Energy production and conversion!!!Energy production and conversion",NA,"plasmid2_sulf1"
"93",51,"Cytochrome c oxidase assembly protein CtaG (CtaG) (PUBMED:14766920)","Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",NA,"plasmid2_sulf1"
"94",52,"Cytochrome c553 (CytC553) (PDB:6Q2U)","Energy production and conversion",NA,"plasmid2_sulf1"
"95",54,"TRAP-type mannitol/chloroaromatic compound transport system, small permease component (FcbT2)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf1"
"96",55,"TRAP-type mannitol/chloroaromatic compound transport system, large permease component (FcbT3)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf1"
"97",56,"TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component (FcbT1) (PDB:2HZK)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf1"
"98",57,"Chromosome segregation protein Spo0J, contains ParB-like nuclease domain (Spo0J) (PDB:1R71)","Cell cycle control, cell division, chromosome partitioning",NA,"plasmid2_sulf1"
"99",58,"ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)","Cell cycle control, cell division, chromosome partitioning!!!Cell motility",NA,"plasmid2_sulf1"
"100",60,"DNA-binding transcriptional regulator, IclR family (IclR) (PDB:1MKM)","Transcription",NA,"plasmid2_sulf1"
"101",61,"Microcystin degradation protein MlrC, contains DUF1485 domain (PDB:3IUU)","General function prediction only",NA,"plasmid2_sulf1"
"102",62,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)","Amino acid transport and metabolism",NA,"plasmid2_sulf1"
"103",63,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppB)","Amino acid transport and metabolism!!!Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"104",64,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppC)","Amino acid transport and metabolism!!!Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"105",65,"ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain (GsiA)","Posttranslational modification, protein turnover, chaperones",NA,"plasmid2_sulf1"
"106",66,"Metal-dependent amidase/aminoacylase/carboxypeptidase (AbgB) (PDB:3RAM) (PUBMED:17307853)","General function prediction only","Lysine biosynthesis","plasmid2_sulf1"
"107",67,"Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)","Amino acid transport and metabolism","Arginine biosynthesis","plasmid2_sulf1"
"108",68,"Uncharacterized conserved protein","Function unknown",NA,"plasmid2_sulf1"
"109",69,"Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair (DinP) (PDB:4R8U) (PUBMED:16544291)","Replication, recombination and repair",NA,"plasmid2_sulf1"
"110",70,"DNA polymerase III, alpha subunit (DnaE) (PDB:2HNH)","Replication, recombination and repair",NA,"plasmid2_sulf1"
"111",71,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"112",72,"Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V)","General function prediction only",NA,"plasmid2_sulf1"
"113",73,"TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"114",74,"TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"115",75,"Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)","Amino acid transport and metabolism","Arginine biosynthesis","plasmid2_sulf1"
"116",76,"Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family (OCDMu) (PDB:2I99)","Amino acid transport and metabolism","Proline biosynthesis","plasmid2_sulf1"
"117",77,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf1"
"118",78,"Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family (RidA) (PDB:1J7H) (PUBMED:22094463;32205462)","Defense mechanisms","Pyrimidine degradation","plasmid2_sulf1"
"119",79,"RNA degradosome component RraA (regulator of RNase E activity) (RraA) (PDB:1J3L) (PUBMED:20471400)","Translation, ribosomal structure and biogenesis",NA,"plasmid2_sulf1"
"120",80,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)","Amino acid transport and metabolism",NA,"plasmid2_sulf1"
"121",81,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppB)","Amino acid transport and metabolism!!!Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"122",82,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppC)","Amino acid transport and metabolism!!!Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"123",83,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (DppD) (PDB:4FWI)","Amino acid transport and metabolism!!!Inorganic ion transport and metabolism",NA,"plasmid2_sulf1"
"124",84,"ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain (GsiA)","Posttranslational modification, protein turnover, chaperones",NA,"plasmid2_sulf1"
"125",85,"Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)","Mobilome: prophages, transposons",NA,"plasmid2_sulf1"
"126",89,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"127",90,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf1"
"128",91,"Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)","Lipid transport and metabolism","Proline degradation","plasmid2_sulf1"
"129",92,"O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)","Lipid transport and metabolism","Menaquinone biosynthesis","plasmid2_sulf1"
"130",93,"Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)","Lipid transport and metabolism!!!General function prediction only","Non-phosphorylated Entner-Doudoroff pathway","plasmid2_sulf1"
"131",94,"Transposase (or an inactivated derivative) (IS285)","Mobilome: prophages, transposons",NA,"plasmid2_sulf1"
"132",95,"Quinol monooxygenase YgiN (YgiN) (PDB:1R6Y) (PUBMED:15613473)","Energy production and conversion",NA,"plasmid2_sulf1"
"133",96,"O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)","Lipid transport and metabolism","Menaquinone biosynthesis","plasmid2_sulf1"
"134",97,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"135",98,"NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family (YrpB)","General function prediction only",NA,"plasmid2_sulf1"
"136",99,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"137",100,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"138",101,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"139",102,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf1"
"140",103,"O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)","Lipid transport and metabolism","Menaquinone biosynthesis","plasmid2_sulf1"
"141",104,"Predicted  kinase, aminoglycoside phosphotransferase (APT) family (YcbJ)","General function prediction only",NA,"plasmid2_sulf1"
"142",106,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"143",107,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"144",108,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"145",109,"Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"146",110,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"147",111,"TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"148",112,"TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf1"
"149",113,"Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"150",114,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"151",115,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"152",116,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"153",117,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"154",118,"Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)","Lipid transport and metabolism",NA,"plasmid2_sulf1"
"155",119,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"156",120,"Predicted  kinase, aminoglycoside phosphotransferase (APT) family (YcbJ)","General function prediction only",NA,"plasmid2_sulf1"
"157",121,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf1"
"158",122,"Predicted  kinase, aminoglycoside phosphotransferase (APT) family (YcbJ)","General function prediction only",NA,"plasmid2_sulf1"
"159",123,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"160",125,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"161",126,"Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)","Mobilome: prophages, transposons",NA,"plasmid2_sulf1"
"162",127,"Transposase","Mobilome: prophages, transposons",NA,"plasmid2_sulf1"
"163",128,"Transposase","Mobilome: prophages, transposons",NA,"plasmid2_sulf1"
"164",129,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf1"
"165",130,"Uncharacterized membrane protein","Function unknown",NA,"plasmid2_sulf1"
"166",131,"Magnetosome formation protein MamQ, lipoprotein antigen LemA family (LemA) (PDB:2ETD) (PUBMED:14638756;20212111;26884433)","Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf1"
"167",134,"Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase (GatA) (PDB:3H0L)","Translation, ribosomal structure and biogenesis","Aminoacyl-tRNA synthetases","plasmid2_sulf1"
"168",135,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf1"
"169",136,"Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN (Med) (PDB:2FQW) (PUBMED:21622736)","Signal transduction mechanisms",NA,"plasmid2_sulf1"
"170",137,"ABC-type guanosine uptake system NupNOPQ, permease component NupP (NupP) (PUBMED:21926227)","Nucleotide transport and metabolism",NA,"plasmid2_sulf1"
"171",138,"ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)","Nucleotide transport and metabolism",NA,"plasmid2_sulf1"
