Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
short_reads_bam_bin.73	bacteria_odb10	85.5	73.4	12.1	6.5	8.0	124	1062	1062	0.000%	1972
assembly_bin.81	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	1068	1068	0.000%	367
assembly_bin.75	bacteria_odb10	16.9	16.9	0.0	4.0	79.1	124	1266	1266	0.000%	499
short_reads_bam_bin.30	bacteria_odb10	79.0	37.9	41.1	10.5	10.5	124	1050	1050	0.000%	4569
24_sample_bam_bin.214	bacteria_odb10	2.4	2.4	0.0	0.8	96.8	124	942	942	0.000%	254
47_sample_bam_bin.33	bacteria_odb10	88.7	24.2	64.5	4.0	7.3	124	1212	1212	0.000%	6222
assembly_plus_bin.179	bacteria_odb10	42.8	35.5	7.3	9.7	47.5	124	1068	1068	0.000%	938
short_reads_bam_bin.37	bacteria_odb10	87.9	87.9	0.0	6.5	5.6	124	1374	1374	0.000%	1931
assembly_bin.38	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1668	1668	0.000%	219
assembly_plus_bin.184	bacteria_odb10	3.2	3.2	0.0	4.0	92.8	124	1083	1083	0.000%	276
assembly_plus_bin.170	bacteria_odb10	12.1	8.9	3.2	4.8	83.1	124	1008	1008	0.000%	625
24_sample_bam_bin.225	bacteria_odb10	3.2	1.6	1.6	1.6	95.2	124	843	843	0.000%	808
tx_bam_bin.35	bacteria_odb10	8.9	8.9	0.0	3.2	87.9	124	1104	1104	0.000%	509
assembly_bin.54	bacteria_odb10	58.1	58.1	0.0	5.6	36.3	124	1209	1209	0.000%	1026
47_sample_bam_bin.282	bacteria_odb10	23.4	23.4	0.0	6.5	70.1	124	993	993	0.000%	250
47_sample_bam_bin.56	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	1020	1020	0.000%	266
tx_bam_bin.66	bacteria_odb10	0.8	0.0	0.8	2.4	96.8	124	1227	1227	0.000%	383
assembly_bin.65	bacteria_odb10	19.4	19.4	0.0	4.8	75.8	124	879	879	0.000%	484
24_sample_bam_bin.247	bacteria_odb10	1.6	0.0	1.6	0.8	97.6	124	1053	1053	0.000%	627
assembly_bin.122	bacteria_odb10	12.9	10.5	2.4	6.5	80.6	124	1002	1002	0.000%	787
assembly_plus_bin.115	bacteria_odb10	19.4	10.5	8.9	8.1	72.5	124	945	945	0.000%	2570
assembly_bin.96	bacteria_odb10	2.4	1.6	0.8	0.0	97.6	124	1305	1305	0.000%	189
tx_bam_bin.68	bacteria_odb10	20.9	18.5	2.4	4.0	75.1	124	1281	1281	0.000%	955
short_reads_bam_bin.64	bacteria_odb10	0.8	0.0	0.8	0.0	99.2	124	816	816	0.000%	552
short_reads_bam_bin.144	bacteria_odb10	23.3	18.5	4.8	8.1	68.6	124	1077	1077	0.000%	1400
short_reads_bam_bin.90	bacteria_odb10	9.7	9.7	0.0	3.2	87.1	124	1227	1227	0.000%	497
tx_bam_bin.34	bacteria_odb10	35.5	26.6	8.9	11.3	53.2	124	1020	1020	0.000%	1013
24_sample_bam_bin.223	bacteria_odb10	18.5	15.3	3.2	9.7	71.8	124	906	906	0.000%	1417
tx_bam_bin.33	bacteria_odb10	24.2	12.1	12.1	4.0	71.8	124	1212	1212	0.000%	2300
47_sample_bam_bin.444	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	2325	2325	0.000%	167
short_reads_bam_bin.111	bacteria_odb10	0.8	0.0	0.8	0.0	99.2	124	1047	1047	0.000%	241
47_sample_bam_bin.443	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	1773	1773	0.000%	613
assembly_bin.37	bacteria_odb10	6.4	2.4	4.0	1.6	92.0	124	1017	1017	0.000%	395
47_sample_bam_bin.61	bacteria_odb10	0.8	0.8	0.0	1.6	97.6	124	1038	1038	0.000%	284
assembly_bin.124	bacteria_odb10	71.8	71.8	0.0	4.0	24.2	124	1437	1437	0.000%	1421
assembly_plus_bin.113	bacteria_odb10	24.2	21.8	2.4	2.4	73.4	124	1083	1083	0.000%	271
assembly_bin.90	bacteria_odb10	7.2	4.8	2.4	0.0	92.8	124	1176	1176	0.000%	771
47_sample_bam_bin.279	bacteria_odb10	8.0	5.6	2.4	5.6	86.4	124	957	957	0.000%	896
short_reads_bam_bin.62	bacteria_odb10	55.7	34.7	21.0	11.3	33.0	124	1176	1176	0.000%	3791
assembly_bin.52	bacteria_odb10	19.4	19.4	0.0	1.6	79.0	124	1260	1260	0.000%	807
assembly_bin.99	bacteria_odb10	6.4	4.8	1.6	3.2	90.4	124	1419	1419	0.000%	270
47_sample_bam_bin.270	bacteria_odb10	1.6	0.8	0.8	2.4	96.0	124	975	975	0.000%	462
assembly_bin.55	bacteria_odb10	4.8	4.8	0.0	2.4	92.8	124	1029	1029	0.000%	270
47_sample_bam_bin.283	bacteria_odb10	23.4	21.8	1.6	8.1	68.5	124	894	894	0.000%	312
24_sample_bam_bin.248	bacteria_odb10	19.4	19.4	0.0	4.0	76.6	124	948	948	0.000%	824
assembly_plus_bin.45	bacteria_odb10	1.6	1.6	0.0	0.8	97.6	124	900	900	0.000%	3228
assembly_plus_bin.89	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	963	963	0.000%	244
47_sample_bam_bin.130	bacteria_odb10	8.0	5.6	2.4	0.8	91.2	124	933	933	0.000%	474
assembly_plus_bin.80	bacteria_odb10	7.2	3.2	4.0	2.4	90.4	124	1068	1068	0.000%	866
47_sample_bam_bin.509	bacteria_odb10	4.0	4.0	0.0	1.6	94.4	124	945	945	0.000%	335
47_sample_bam_bin.394	bacteria_odb10	7.2	4.8	2.4	2.4	90.4	124	1263	1263	0.000%	920
24_sample_bam_bin.164	bacteria_odb10	8.9	8.1	0.8	1.6	89.5	124	930	930	0.000%	331
47_sample_bam_bin.164	bacteria_odb10	0.8	0.8	0.0	1.6	97.6	124	786	786	0.000%	309
assembly_plus_bin.29	bacteria_odb10	26.6	15.3	11.3	8.1	65.3	124	954	954	0.000%	1636
assembly_plus_bin.209	bacteria_odb10	17.7	16.1	1.6	2.4	79.9	124	1008	1008	0.000%	567
assembly_plus_bin.72	bacteria_odb10	15.3	10.5	4.8	0.8	83.9	124	945	945	0.000%	772
47_sample_bam_bin.335	bacteria_odb10	2.4	0.8	1.6	0.8	96.8	124	852	852	0.000%	331
assembly_plus_bin.88	bacteria_odb10	6.5	6.5	0.0	3.2	90.3	124	1209	1209	0.000%	262
47_sample_bam_bin.303	bacteria_odb10	3.2	0.8	2.4	4.0	92.8	124	819	819	0.000%	678
assembly_plus_bin.44	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1668	1668	0.000%	219
assembly_plus_bin.17	bacteria_odb10	2.4	1.6	0.8	0.0	97.6	124	1305	1305	0.000%	189
47_sample_bam_bin.508	bacteria_odb10	87.9	87.1	0.8	6.5	5.6	124	1341	1341	0.000%	2199
47_sample_bam_bin.149	bacteria_odb10	8.9	8.9	0.0	4.8	86.3	124	873	873	0.000%	492
24_sample_bam_bin.176	bacteria_odb10	4.8	4.0	0.8	2.4	92.8	124	630	630	0.000%	391
47_sample_bam_bin.171	bacteria_odb10	6.4	4.8	1.6	5.6	88.0	124	933	933	0.000%	448
24_sample_bam_bin.178	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	903	903	0.000%	267
tx_bam_bin.3	bacteria_odb10	25.0	16.1	8.9	5.6	69.4	124	1278	1278	0.000%	1004
tx_bam_bin.4	bacteria_odb10	8.1	8.1	0.0	5.6	86.3	124	993	993	0.000%	804
47_sample_bam_bin.319	bacteria_odb10	8.1	8.1	0.0	12.1	79.8	124	975	975	0.000%	697
assembly_plus_bin.241	bacteria_odb10	8.0	2.4	5.6	1.6	90.4	124	1296	1296	0.000%	353
assembly_plus_bin.95	bacteria_odb10	1.6	0.0	1.6	1.6	96.8	124	945	945	0.000%	292
47_sample_bam_bin.113	bacteria_odb10	26.6	21.0	5.6	8.9	64.5	124	942	942	0.000%	1368
assembly_plus_bin.57	bacteria_odb10	0.8	0.8	0.0	1.6	97.6	124	876	876	0.000%	2248
assembly_plus_bin.270	bacteria_odb10	6.4	2.4	4.0	1.6	92.0	124	1017	1017	0.000%	395
24_sample_bam_bin.2	bacteria_odb10	1.6	1.6	0.0	0.0	98.4	124	849	849	0.000%	395
assembly_plus_bin.214	bacteria_odb10	16.9	16.9	0.0	4.0	79.1	124	1266	1266	0.000%	499
47_sample_bam_bin.374	bacteria_odb10	17.7	16.1	1.6	12.9	69.4	124	870	870	0.000%	2725
47_sample_bam_bin.389	bacteria_odb10	20.9	15.3	5.6	8.9	70.2	124	942	942	0.000%	2189
24_sample_bam_bin.177	bacteria_odb10	9.6	5.6	4.0	2.4	88.0	124	990	990	0.000%	521
47_sample_bam_bin.320	bacteria_odb10	81.4	38.7	42.7	9.7	8.9	124	1047	1047	0.000%	5021
assembly_plus_bin.93	bacteria_odb10	4.0	1.6	2.4	0.8	95.2	124	1089	1089	0.000%	952
assembly_bin.6	bacteria_odb10	52.4	27.4	25.0	6.5	41.1	124	1083	1083	0.000%	1537
47_sample_bam_bin.255	bacteria_odb10	0.8	0.0	0.8	0.8	98.4	124	1029	1029	0.000%	409
tx_bam_bin.42	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1365	1365	0.000%	274
short_reads_bam_bin.82	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1170	1170	0.000%	179
47_sample_bam_bin.72	bacteria_odb10	75.8	30.6	45.2	7.3	16.9	124	1068	1068	0.000%	4178
short_reads_bam_bin.169	bacteria_odb10	1.6	0.8	0.8	0.0	98.4	124	954	954	0.000%	344
assembly_bin.101	bacteria_odb10	7.3	7.3	0.0	0.0	92.7	124	975	975	0.000%	417
24_sample_bam_bin.290	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1023	1023	0.000%	300
assembly_plus_bin.109	bacteria_odb10	19.4	19.4	0.0	1.6	79.0	124	1260	1260	0.000%	807
assembly_plus_bin.136	bacteria_odb10	5.6	5.6	0.0	0.8	93.6	124	1437	1437	0.000%	279
assembly_plus_bin.162	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	1470	1470	0.000%	214
short_reads_bam_bin.133	bacteria_odb10	4.0	0.8	3.2	2.4	93.6	124	960	960	0.000%	1478
47_sample_bam_bin.459	bacteria_odb10	23.4	23.4	0.0	4.0	72.6	124	1353	1353	0.000%	213
24_sample_bam_bin.206	bacteria_odb10	14.5	14.5	0.0	5.6	79.9	124	945	945	0.000%	414
assembly_plus_bin.153	bacteria_odb10	20.2	10.5	9.7	5.6	74.2	124	867	867	0.000%	2688
47_sample_bam_bin.206	bacteria_odb10	7.3	7.3	0.0	1.6	91.1	124	891	891	0.000%	323
assembly_bin.23	bacteria_odb10	5.6	5.6	0.0	0.8	93.6	124	1437	1437	0.000%	279
short_reads_bam_bin.25	bacteria_odb10	12.1	12.1	0.0	5.6	82.3	124	891	891	0.000%	1193
24_sample_bam_bin.27	bacteria_odb10	14.5	13.7	0.8	3.2	82.3	124	1005	1005	0.000%	644
short_reads_bam_bin.46	bacteria_odb10	60.5	31.5	29.0	16.1	23.4	124	984	984	0.000%	4516
assembly_bin.107	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	1470	1470	0.000%	214
assembly_bin.78	bacteria_odb10	5.6	4.0	1.6	2.4	92.0	124	1155	1155	0.000%	418
assembly_bin.100	bacteria_odb10	45.9	29.8	16.1	8.9	45.2	124	1035	1035	0.000%	1704
assembly_bin.47	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	828	828	0.000%	477
short_reads_bam_bin.83	bacteria_odb10	15.3	1.6	13.7	4.0	80.7	124	927	927	0.000%	3829
short_reads_bam_bin.157	bacteria_odb10	61.3	36.3	25.0	15.3	23.4	124	1035	1035	0.000%	3748
47_sample_bam_bin.253	bacteria_odb10	19.3	18.5	0.8	6.5	74.2	124	903	903	0.000%	765
short_reads_bam_bin.48	bacteria_odb10	86.3	25.8	60.5	5.6	8.1	124	1248	1248	0.000%	5502
short_reads_bam_bin.24	bacteria_odb10	15.3	14.5	0.8	3.2	81.5	124	912	912	0.000%	817
24_sample_bam_bin.238	bacteria_odb10	62.1	40.3	21.8	15.3	22.6	124	1041	1041	0.000%	3238
47_sample_bam_bin.458	bacteria_odb10	4.8	3.2	1.6	4.8	90.4	124	1077	1077	0.000%	393
assembly_plus_bin.163	bacteria_odb10	47.5	16.9	30.6	4.8	47.7	124	885	885	0.000%	5286
