Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
short_reads_bam_bin.124	bacteria_odb10	8.8	4.0	4.8	2.4	88.8	124	1122	1122	0.000%	810
24_sample_bam_bin.449	bacteria_odb10	1.6	1.6	0.0	0.8	97.6	124	693	693	0.000%	211
tx_bam_bin.37	bacteria_odb10	24.2	12.1	12.1	4.0	71.8	124	1203	1203	0.000%	2137
24_sample_bam_bin.476	bacteria_odb10	2.4	2.4	0.0	2.4	95.2	124	1185	1185	0.000%	158
assembly_plus_bin.175	bacteria_odb10	42.8	35.5	7.3	9.7	47.5	124	1068	1068	0.000%	938
assembly_plus_bin.204	bacteria_odb10	17.7	16.1	1.6	2.4	79.9	124	1008	1008	0.000%	567
24_sample_bam_bin.151	bacteria_odb10	5.6	4.8	0.8	0.0	94.4	124	1050	1050	0.000%	208
assembly_plus_bin.235	bacteria_odb10	8.0	2.4	5.6	1.6	90.4	124	1296	1296	0.000%	353
47_sample_bam_bin.158	bacteria_odb10	2.4	2.4	0.0	0.8	96.8	124	831	831	0.000%	161
24_sample_bam_bin.193	bacteria_odb10	2.4	2.4	0.0	4.0	93.6	124	621	621	0.000%	195
47_sample_bam_bin.503	bacteria_odb10	87.9	87.1	0.8	6.5	5.6	124	1353	1353	0.000%	2098
assembly_plus_bin.79	bacteria_odb10	2.4	2.4	0.0	0.8	96.8	124	1299	1299	0.000%	281
assembly_plus_bin.14	bacteria_odb10	45.9	29.8	16.1	8.9	45.2	124	1035	1035	0.000%	1704
24_sample_bam_bin.502	bacteria_odb10	1.6	0.8	0.8	0.8	97.6	124	1032	1032	0.000%	230
24_sample_bam_bin.195	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	861	861	0.000%	164
assembly_plus_bin.25	bacteria_odb10	71.8	71.8	0.0	4.0	24.2	124	1437	1437	0.000%	1421
47_sample_bam_bin.157	bacteria_odb10	0.8	0.8	0.0	2.4	96.8	124	741	741	0.000%	436
47_sample_bam_bin.391	bacteria_odb10	6.4	4.8	1.6	4.8	88.8	124	930	930	0.000%	525
47_sample_bam_bin.396	bacteria_odb10	4.8	4.0	0.8	4.0	91.2	124	1086	1086	0.000%	606
assembly_plus_bin.82	bacteria_odb10	7.2	5.6	1.6	2.4	90.4	124	1101	1101	0.000%	271
assembly_plus_bin.85	bacteria_odb10	6.5	6.5	0.0	3.2	90.3	124	1209	1209	0.000%	262
assembly_plus_bin.40	bacteria_odb10	11.3	10.5	0.8	4.8	83.9	124	1017	1017	0.000%	573
24_sample_bam_bin.132	bacteria_odb10	4.0	4.0	0.0	2.4	93.6	124	969	969	0.000%	434
24_sample_bam_bin.110	bacteria_odb10	3.2	2.4	0.8	3.2	93.6	124	798	798	0.000%	581
47_sample_bam_bin.117	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1731	1731	0.000%	431
assembly_bin.4	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	963	963	0.000%	244
24_sample_bam_bin.314	bacteria_odb10	3.2	2.4	0.8	4.0	92.8	124	861	861	0.000%	428
24_sample_bam_bin.340	bacteria_odb10	4.8	4.8	0.0	3.2	92.0	124	906	906	0.000%	335
47_sample_bam_bin.511	bacteria_odb10	2.4	2.4	0.0	2.4	95.2	124	864	864	0.000%	114
assembly_plus_bin.38	bacteria_odb10	7.3	7.3	0.0	1.6	91.1	124	1128	1128	0.000%	344
24_sample_bam_bin.347	bacteria_odb10	7.3	7.3	0.0	4.8	87.9	124	1002	1002	0.000%	308
24_sample_bam_bin.511	bacteria_odb10	87.9	87.1	0.8	6.5	5.6	124	1380	1380	0.000%	1974
assembly_plus_bin.229	bacteria_odb10	5.6	4.0	1.6	2.4	92.0	124	1053	1053	0.000%	692
tx_bam_bin.7	bacteria_odb10	9.7	8.1	1.6	1.6	88.7	124	1068	1068	0.000%	303
assembly_plus_bin.31	bacteria_odb10	4.8	2.4	2.4	2.4	92.8	124	939	939	0.000%	158
47_sample_bam_bin.382	bacteria_odb10	62.9	46.0	16.9	16.1	21.0	124	1221	1221	0.000%	3731
assembly_plus_bin.36	bacteria_odb10	4.8	0.8	4.0	0.0	95.2	124	1095	1095	0.000%	319
47_sample_bam_bin.129	bacteria_odb10	5.6	4.8	0.8	0.0	94.4	124	1017	1017	0.000%	231
assembly_bin.5	bacteria_odb10	1.6	1.6	0.0	0.0	98.4	124	906	906	0.000%	312
assembly_bin.2	bacteria_odb10	0.8	0.8	0.0	0.8	98.4	124	1299	1299	0.000%	223
assembly_plus_bin.210	bacteria_odb10	9.6	5.6	4.0	2.4	88.0	124	1137	1137	0.000%	608
47_sample_bam_bin.174	bacteria_odb10	4.0	3.2	0.8	4.8	91.2	124	804	804	0.000%	291
assembly_plus_bin.221	bacteria_odb10	58.1	58.1	0.0	5.6	36.3	124	1215	1215	0.000%	1046
assembly_plus_bin.166	bacteria_odb10	6.4	4.0	2.4	2.4	91.2	124	1194	1194	0.000%	248
assembly_plus_bin.159	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	1470	1470	0.000%	214
assembly_bin.16	bacteria_odb10	24.2	21.8	2.4	2.4	73.4	124	1083	1083	0.000%	271
47_sample_bam_bin.234	bacteria_odb10	62.1	40.3	21.8	12.9	25.0	124	1044	1044	0.000%	3169
assembly_bin.20	bacteria_odb10	5.6	4.8	0.8	1.6	92.8	124	1239	1239	0.000%	361
short_reads_bam_bin.139	bacteria_odb10	8.9	8.9	0.0	4.0	87.1	124	1068	1068	0.000%	841
assembly_plus_bin.157	bacteria_odb10	2.4	2.4	0.0	0.8	96.8	124	1026	1026	0.000%	333
24_sample_bam_bin.498	bacteria_odb10	1.6	1.6	0.0	0.8	97.6	124	1092	1092	0.000%	182
24_sample_bam_bin.48	bacteria_odb10	13.7	13.7	0.0	4.0	82.3	124	924	924	0.000%	259
47_sample_bam_bin.82	bacteria_odb10	1.6	1.6	0.0	2.4	96.0	124	966	966	0.000%	266
47_sample_bam_bin.49	bacteria_odb10	14.5	14.5	0.0	4.8	80.7	124	891	891	0.000%	352
short_reads_bam_bin.164	bacteria_odb10	80.7	33.9	46.8	7.3	12.0	124	1077	1077	0.000%	4926
assembly_plus_bin.132	bacteria_odb10	5.6	5.6	0.0	0.8	93.6	124	1437	1437	0.000%	279
short_reads_bam_bin.88	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1164	1164	0.000%	149
assembly_bin.45	bacteria_odb10	4.8	0.8	4.0	0.0	95.2	124	1095	1095	0.000%	319
47_sample_bam_bin.204	bacteria_odb10	7.3	7.3	0.0	2.4	90.3	124	957	957	0.000%	213
24_sample_bam_bin.22	bacteria_odb10	6.5	6.5	0.0	0.8	92.7	124	1182	1182	0.000%	660
assembly_bin.21	bacteria_odb10	7.2	5.6	1.6	5.6	87.2	124	1203	1203	0.000%	336
assembly_plus_bin.169	bacteria_odb10	9.6	4.0	5.6	8.1	82.3	124	909	909	0.000%	1929
assembly_bin.28	bacteria_odb10	7.2	5.6	1.6	2.4	90.4	124	1101	1101	0.000%	271
assembly_bin.10	bacteria_odb10	1.6	0.0	1.6	1.6	96.8	124	945	945	0.000%	292
short_reads_bam_bin.42	bacteria_odb10	87.9	87.9	0.0	6.5	5.6	124	1374	1374	0.000%	1920
short_reads_bam_bin.89	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	882	882	0.000%	139
24_sample_bam_bin.437	bacteria_odb10	4.8	3.2	1.6	5.6	89.6	124	891	891	0.000%	484
tx_bam_bin.40	bacteria_odb10	8.9	8.9	0.0	3.2	87.9	124	1104	1104	0.000%	509
24_sample_bam_bin.71	bacteria_odb10	0.0	0.0	0.0	2.4	97.6	124	1215	1215	0.000%	202
24_sample_bam_bin.85	bacteria_odb10	73.4	40.3	33.1	6.5	20.1	124	1077	1077	0.000%	3507
assembly_bin.81	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	1068	1068	0.000%	367
47_sample_bam_bin.268	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	750	750	0.000%	221
assembly_bin.75	bacteria_odb10	16.9	16.9	0.0	4.0	79.1	124	1266	1266	0.000%	499
short_reads_bam_bin.80	bacteria_odb10	84.7	25.0	59.7	5.6	9.7	124	1245	1245	0.000%	5369
tx_bam_bin.47	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1365	1365	0.000%	274
24_sample_bam_bin.439	bacteria_odb10	7.3	7.3	0.0	10.5	82.2	124	1050	1050	0.000%	441
assembly_plus_bin.105	bacteria_odb10	19.4	19.4	0.0	1.6	79.0	124	1260	1260	0.000%	807
24_sample_bam_bin.442	bacteria_odb10	2.4	2.4	0.0	2.4	95.2	124	945	945	0.000%	266
47_sample_bam_bin.445	bacteria_odb10	5.6	4.0	1.6	4.8	89.6	124	852	852	0.000%	799
short_reads_bam_bin.37	bacteria_odb10	78.2	37.1	41.1	11.3	10.5	124	1050	1050	0.000%	4526
short_reads_bam_bin.128	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	1470	1470	0.000%	214
assembly_bin.38	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1668	1668	0.000%	219
assembly_plus_bin.184	bacteria_odb10	6.5	6.5	0.0	0.8	92.7	124	1026	1026	0.000%	349
assembly_plus_bin.170	bacteria_odb10	3.2	3.2	0.0	0.0	96.8	124	966	966	0.000%	403
assembly_bin.54	bacteria_odb10	58.1	58.1	0.0	5.6	36.3	124	1209	1209	0.000%	1026
tx_bam_bin.61	bacteria_odb10	59.7	36.3	23.4	12.1	28.2	124	1029	1029	0.000%	3091
assembly_plus_bin.124	bacteria_odb10	7.2	5.6	1.6	5.6	87.2	124	720	720	0.000%	592
assembly_bin.122	bacteria_odb10	12.9	10.5	2.4	6.5	80.6	124	1002	1002	0.000%	787
24_sample_bam_bin.278	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	822	822	0.000%	262
short_reads_bam_bin.63	bacteria_odb10	55.7	44.4	11.3	11.3	33.0	124	1206	1206	0.000%	3205
assembly_bin.96	bacteria_odb10	2.4	1.6	0.8	0.0	97.6	124	1305	1305	0.000%	189
24_sample_bam_bin.34	bacteria_odb10	83.8	53.2	30.6	6.5	9.7	124	1242	1242	0.000%	3868
47_sample_bam_bin.212	bacteria_odb10	3.2	3.2	0.0	6.5	90.3	124	885	885	0.000%	283
47_sample_bam_bin.32	bacteria_odb10	86.3	25.8	60.5	4.8	8.9	124	1224	1224	0.000%	5384
24_sample_bam_bin.444	bacteria_odb10	6.5	6.5	0.0	0.8	92.7	124	906	906	0.000%	348
assembly_bin.37	bacteria_odb10	6.4	2.4	4.0	1.6	92.0	124	1017	1017	0.000%	395
assembly_plus_bin.140	bacteria_odb10	34.7	34.7	0.0	8.9	56.4	124	1056	1056	0.000%	1055
assembly_plus_bin.114	bacteria_odb10	4.8	4.8	0.0	4.8	90.4	124	900	900	0.000%	194
assembly_bin.124	bacteria_odb10	71.8	71.8	0.0	4.0	24.2	124	1437	1437	0.000%	1421
short_reads_bam_bin.65	bacteria_odb10	1.6	0.8	0.8	0.8	97.6	124	1062	1062	0.000%	135
tx_bam_bin.56	bacteria_odb10	91.1	18.5	72.6	1.6	7.3	124	1182	1182	0.000%	8232
assembly_bin.90	bacteria_odb10	7.2	4.8	2.4	0.0	92.8	124	1176	1176	0.000%	771
47_sample_bam_bin.279	bacteria_odb10	4.0	3.2	0.8	2.4	93.6	124	1050	1050	0.000%	146
24_sample_bam_bin.94	bacteria_odb10	1.6	1.6	0.0	2.4	96.0	124	966	966	0.000%	266
24_sample_bam_bin.284	bacteria_odb10	2.4	2.4	0.0	0.8	96.8	124	789	789	0.000%	181
assembly_bin.52	bacteria_odb10	19.4	19.4	0.0	1.6	79.0	124	1260	1260	0.000%	807
assembly_bin.99	bacteria_odb10	6.4	4.8	1.6	3.2	90.4	124	1419	1419	0.000%	270
assembly_bin.55	bacteria_odb10	4.8	4.8	0.0	2.4	92.8	124	1029	1029	0.000%	270
assembly_plus_bin.262	bacteria_odb10	51.6	30.6	21.0	7.3	41.1	124	1098	1098	0.000%	1348
24_sample_bam_bin.101	bacteria_odb10	1.6	1.6	0.0	2.4	96.0	124	912	912	0.000%	174
24_sample_bam_bin.333	bacteria_odb10	4.8	4.8	0.0	0.8	94.4	124	1080	1080	0.000%	142
24_sample_bam_bin.393	bacteria_odb10	63.7	45.2	18.5	12.9	23.4	124	1221	1221	0.000%	3544
assembly_plus_bin.18	bacteria_odb10	2.4	1.6	0.8	0.0	97.6	124	1305	1305	0.000%	189
assembly_plus_bin.86	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	963	963	0.000%	244
assembly_plus_bin.72	bacteria_odb10	8.0	5.6	2.4	1.6	90.4	124	960	960	0.000%	471
24_sample_bam_bin.335	bacteria_odb10	80.6	39.5	41.1	10.5	8.9	124	1038	1038	0.000%	5144
assembly_plus_bin.43	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1668	1668	0.000%	219
47_sample_bam_bin.506	bacteria_odb10	1.6	1.6	0.0	0.8	97.6	124	1143	1143	0.000%	146
assembly_plus_bin.208	bacteria_odb10	16.9	16.9	0.0	4.0	79.1	124	1266	1266	0.000%	499
assembly_plus_bin.223	bacteria_odb10	8.0	5.6	2.4	0.0	92.0	124	1176	1176	0.000%	786
tx_bam_bin.4	bacteria_odb10	3.2	1.6	1.6	0.0	96.8	124	1203	1203	0.000%	304
47_sample_bam_bin.319	bacteria_odb10	6.5	6.5	0.0	8.9	84.6	124	1050	1050	0.000%	359
47_sample_bam_bin.321	bacteria_odb10	80.6	39.5	41.1	10.5	8.9	124	1047	1047	0.000%	4842
assembly_plus_bin.270	bacteria_odb10	6.4	2.4	4.0	1.6	92.0	124	1017	1017	0.000%	395
24_sample_bam_bin.310	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	1113	1113	0.000%	177
24_sample_bam_bin.2	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	792	792	0.000%	171
47_sample_bam_bin.373	bacteria_odb10	4.0	4.0	0.0	3.2	92.8	124	948	948	0.000%	154
24_sample_bam_bin.124	bacteria_odb10	7.3	6.5	0.8	4.0	88.7	124	795	795	0.000%	365
24_sample_bam_bin.112	bacteria_odb10	4.0	4.0	0.0	0.8	95.2	124	996	996	0.000%	143
assembly_plus_bin.93	bacteria_odb10	1.6	0.0	1.6	1.6	96.8	124	945	945	0.000%	292
assembly_bin.6	bacteria_odb10	52.4	27.4	25.0	6.5	41.1	124	1083	1083	0.000%	1537
tx_bam_bin.42	bacteria_odb10	8.9	8.9	0.0	6.5	84.6	124	1176	1176	0.000%	402
tx_bam_bin.45	bacteria_odb10	59.7	59.7	0.0	3.2	37.1	124	1455	1455	0.000%	1124
47_sample_bam_bin.252	bacteria_odb10	0.8	0.0	0.8	0.8	98.4	124	1101	1101	0.000%	163
short_reads_bam_bin.49	bacteria_odb10	2.4	1.6	0.8	3.2	94.4	124	804	804	0.000%	214
short_reads_bam_bin.169	bacteria_odb10	5.6	3.2	2.4	3.2	91.2	124	936	936	0.000%	960
tx_bam_bin.73	bacteria_odb10	20.9	18.5	2.4	2.4	76.7	124	1296	1296	0.000%	925
47_sample_bam_bin.290	bacteria_odb10	8.8	5.6	3.2	4.0	87.2	124	939	939	0.000%	271
47_sample_bam_bin.432	bacteria_odb10	4.8	4.0	0.8	2.4	92.8	124	639	639	0.000%	343
assembly_bin.101	bacteria_odb10	7.3	7.3	0.0	0.0	92.7	124	975	975	0.000%	417
assembly_plus_bin.109	bacteria_odb10	24.2	21.8	2.4	2.4	73.4	124	1083	1083	0.000%	271
24_sample_bam_bin.435	bacteria_odb10	1.6	0.8	0.8	4.0	94.4	124	948	948	0.000%	222
tx_bam_bin.20	bacteria_odb10	28.2	15.3	12.9	7.3	64.5	124	1077	1077	0.000%	2031
47_sample_bam_bin.495	bacteria_odb10	0.0	0.0	0.0	4.0	96.0	124	1011	1011	0.000%	276
assembly_plus_bin.165	bacteria_odb10	4.8	2.4	2.4	2.4	92.8	124	963	963	0.000%	524
tx_bam_bin.18	bacteria_odb10	56.5	34.7	21.8	9.7	33.8	124	999	999	0.000%	2104
tx_bam_bin.11	bacteria_odb10	30.7	22.6	8.1	11.3	58.0	124	1170	1170	0.000%	2483
assembly_plus_bin.198	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	894	894	0.000%	504
47_sample_bam_bin.206	bacteria_odb10	5.6	5.6	0.0	0.8	93.6	124	1023	1023	0.000%	141
assembly_bin.23	bacteria_odb10	5.6	5.6	0.0	0.8	93.6	124	1437	1437	0.000%	279
47_sample_bam_bin.457	bacteria_odb10	3.2	3.2	0.0	1.6	95.2	124	1131	1131	0.000%	218
assembly_bin.107	bacteria_odb10	0.8	0.8	0.0	0.0	99.2	124	1470	1470	0.000%	214
24_sample_bam_bin.262	bacteria_odb10	66.2	44.4	21.8	14.5	19.3	124	1041	1041	0.000%	3151
assembly_bin.78	bacteria_odb10	5.6	4.0	1.6	2.4	92.0	124	1155	1155	0.000%	418
assembly_bin.100	bacteria_odb10	45.9	29.8	16.1	8.9	45.2	124	1035	1035	0.000%	1704
assembly_bin.47	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	828	828	0.000%	477
47_sample_bam_bin.73	bacteria_odb10	75.8	35.5	40.3	6.5	17.7	124	1068	1068	0.000%	4027
47_sample_bam_bin.253	bacteria_odb10	8.0	5.6	2.4	0.0	92.0	124	942	942	0.000%	496
assembly_plus_bin.106	bacteria_odb10	0.0	0.0	0.0	0.8	99.2	124	894	894	0.000%	242
tx_bam_bin.43	bacteria_odb10	7.3	7.3	0.0	0.8	91.9	124	891	891	0.000%	294
24_sample_bam_bin.72	bacteria_odb10	30.6	28.2	2.4	12.9	56.5	124	1029	1029	0.000%	1929
47_sample_bam_bin.254	bacteria_odb10	4.8	4.8	0.0	3.2	92.0	124	930	930	0.000%	396
short_reads_bam_bin.150	bacteria_odb10	57.3	35.5	21.8	11.3	31.4	124	1047	1047	0.000%	3170
24_sample_bam_bin.200	bacteria_odb10	1.6	1.6	0.0	2.4	96.0	124	954	954	0.000%	261
47_sample_bam_bin.20	bacteria_odb10	8.1	8.1	0.0	1.6	90.3	124	1221	1221	0.000%	596
47_sample_bam_bin.456	bacteria_odb10	2.4	1.6	0.8	4.0	93.6	124	846	846	0.000%	314
24_sample_bam_bin.28	bacteria_odb10	15.3	15.3	0.0	3.2	81.5	124	1017	1017	0.000%	749
24_sample_bam_bin.467	bacteria_odb10	6.4	4.0	2.4	2.4	91.2	124	882	882	0.000%	344
24_sample_bam_bin.209	bacteria_odb10	11.3	8.9	2.4	7.3	81.4	124	969	969	0.000%	1307
